Дата(месяц,год);ДТП;Погибло;Ранено
01.2013;700;47;836
02.2013;1424;103;1663
03.2013;2181;151;2541
04.2013;3043;215;3524
05.2013;4074;282;4708
06.2013;5162;334;5952
07.2013;6140;416;7144
08.2013;7214;482;8399
09.2013;8286;574;9616
10.2013;9370;659;10828
11.2013;10370;746;11916
12.2013;11319;841;12951
01.2014;806;52;950
02.2014;1495;101;1709
03.2014;2329;160;2668
04.2014;3305;223;3744
05.2014;4301;305;4898
06.2014;5223;382;5982
07.2014;6280;471;7176
08.2014;7261;553;8305
09.2014;8381;637;9540
10.2014;9463;723;10750
11.2014;10332;798;11711
12.2014;11312;888;12770
01.2015;724;41;865
02.2015;1430;92;1674
03.2015;2161;131;2514
04.2015;2954;191;3389
05.2015;3923;254;4497
06.2015;4802;313;5516
07.2015;5641;374;6514
08.2015;6614;433;7642
09.2015;7590;497;8727
10.2015;8501;559;9727
11.2015;9381;612;10738
12.2015;10396;673;11903
01.2016;657;34;800
02.2016;1316;79;1591
03.2016;1984;122;2365
04.2016;2690;177;3134
05.2016;3460;224;4023
06.2016;4163;258;4836
07.2016;4912;303;5703
08.2016;5769;350;6642
09.2016;6726;395;7710
10.2016;7507;453;8599
11.2016;8271;514;9467
12.2016;9045;561;10326
01.2017;568;28;645
02.2017;1132;68;1291
03.2017;1830;103;2074
04.2017;2483;131;2828
05.2017;3196;170;3644
06.2017;3939;208;4495
07.2017;4660;257;5322
08.2017;5476;304;6259
09.2017;6294;346;7203
10.2017;7185;400;8186
11.2017;8036;439;9156
12.2017;8907;494;10168
01.2018;615;40;710
02.2018;1119;55;1302
03.2018;1797;88;2076
04.2018;2444;125;2804
05.2018;3291;161;3773
06.2018;4064;196;4678
07.2018;4786;240;5495
08.2018;5575;284;6394
09.2018;6458;332;7418
10.2018;7361;363;8456
11.2018;8229;409;9416
12.2018;9157;465;10469
01.2019;602;33;689
02.2019;1224;62;1412
03.2019;1903;97;2232
04.2019;2537;120;2950
05.2019;3285;154;3785
06.2019;4040;187;4692
07.2019;4742;231;5519
08.2019;5523;271;6456
09.2019;6394;309;7465
10.2019;7318;348;8506
11.2019;8232;389;9531
12.2019;9296;443;10723
01.2020;728;26;857
02.2020;1473;58;1692
03.2020;2178;84;2506
04.2020;2398;109;2745
05.2020;2728;134;3121
06.2020;3299;159;3743
07.2020;3991;193;4553
08.2020;4768;216;5428
09.2020;5628;262;6375
10.2020;6424;297;7255
11.2020;7177;327;8111
12.2020;7986;376;8990
01.2021;450;18;521
02.2021;982;42;1112
03.2021;1659;62;1891
04.2021;2343;81;2646
05.2021;3108;109;3524
06.2021;3809;139;4321
07.2021;4569;167;5194
08.2021;5356;205;6113
09.2021;6141;243;6976
10.2021;6947;283;7900
11.2021;7732;323;8767
12.2021;8516;358;9650
01.2022;537;18;652
02.2022;1038;42;1220
03.2022;1682;65;1958
04.2022;2321;95;2665
05.2022;3015;118;3440
06.2022;3738;147;4267
07.2022;4423;175;5030
08.2022;5109;200;5826
09.2022;5783;221;6598
10.2022;6494;245;7413
11.2022;7112;277;8106
12.2022;7710;301;8810
01.2023;499;17;571
02.2023;1018;42;1161
03.2023;1560;55;1782
04.2023;2279;89;2550
05.2023;3005;115;3331
06.2023;3621;135;4006
07.2023;4396;168;4877
08.2023;5250;191;5821
09.2023;6128;216;6811
10.2023;6979;252;7738
11.2023;7604;283;8436
12.2023;8118;307;9000
01.2024;432;13;480
02.2024;934;32;1030
03.2024;1434;59;1604
04.2024;2218;83;2470
05.2024;3041;119;3370
06.2024;3904;146;4321
07.2024;4832;183;5337
08.2024;5604;217;6185
09.2024;6559;245;7246
10.2024;7477;285;8266
